"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NESTLEIND","16-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","11310.5","0","0","0","0","      11155.80"
"NESTLEIND","18-Apr-2019","25-Apr-2019","11172.95","11223.55","10950","10977.2","10975.45","10977.2","1056","5841.13","309300","-8700","      10954.45"
"NESTLEIND","18-Apr-2019","30-May-2019","11135","11228.35","11000","11023.3","11012.3","11023.3","140","775.93","7700","2050","      10954.45"
"NESTLEIND","18-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","11102.3","0","0","0","0","      10954.45"
"NESTLEIND","22-Apr-2019","25-Apr-2019","11013.6","11013.6","10869.5","10889.2","10910","10889.2","722","3934.54","285650","-23650","      10879.90"
"NESTLEIND","22-Apr-2019","30-May-2019","10984.6","11021.2","10900","10937.25","10945","10937.25","525","2870.45","28900","21200","      10879.90"
"NESTLEIND","22-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","11018.9","0","0","0","0","      10879.90"
"NESTLEIND","23-Apr-2019","25-Apr-2019","10869.55","10985.55","10869.55","10918.1","10924.85","10918.1","969","5299.88","251950","-33700","      10910.20"
"NESTLEIND","23-Apr-2019","30-May-2019","10643.15","11022.8","10640.05","10959.75","10974.75","10959.75","766","4205.75","63050","34150","      10910.20"
"NESTLEIND","23-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","11048.45","0","0","0","0","      10910.20"
"NESTLEIND","24-Apr-2019","25-Apr-2019","10905.1","11027.15","10689","10836.75","10790","10836.75","2521","13644.49","184700","-67250","      10833.40"
"NESTLEIND","24-Apr-2019","30-May-2019","10714.35","11069.95","10712.25","10881.5","10835","10881.5","2149","11669.7","135450","72400","      10833.40"
"NESTLEIND","24-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","10968.75","0","0","0","0","      10833.40"
"NESTLEIND","25-Apr-2019","25-Apr-2019","10819","10971.75","10676.9","10854","10848.65","10846.45","3302","18031.66","45750","-138950","      10846.45"
"NESTLEIND","25-Apr-2019","30-May-2019","10705.85","11011","10705.85","10888.5","10901","10888.5","3782","20712.1","283950","148500","      10846.45"
"NESTLEIND","25-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","10980","0","0","0","0","      10846.45"
"NESTLEIND","26-Apr-2019","30-May-2019","10881.5","11081.6","10855","11007.8","10978.95","11007.8","1045","5742.81","284100","150","      10971.25"
"NESTLEIND","26-Apr-2019","27-Jun-2019","11062.65","11062.65","11062.65","11062.65","11062.65","11062.65","1","5.53","50","50","      10971.25"
"NESTLEIND","26-Apr-2019","25-Jul-2019","0","0","0","11039.9","0","11165.3","0","0","0","0","      10971.25"
"NESTLEIND","30-Apr-2019","30-May-2019","10899.95","11016.75","10859.5","10943.55","10900","10943.55","1080","5906.77","292450","8350","      10905.30"
"NESTLEIND","30-Apr-2019","27-Jun-2019","10980.5","11000","10980.5","11000","11000","11000","13","71.49","700","650","      10905.30"
"NESTLEIND","30-Apr-2019","25-Jul-2019","0","0","0","11039.9","0","11089.55","0","0","0","0","      10905.30"
"NESTLEIND","02-May-2019","30-May-2019","10807.95","10924.95","10529.95","10655.3","10645.45","10655.3","1201","6466.2","300000","7550","      10589.70"
"NESTLEIND","02-May-2019","27-Jun-2019","10929.9","10929.9","10656.35","10656.35","10656.35","10656.35","8","43.42","950","250","      10589.70"
"NESTLEIND","02-May-2019","25-Jul-2019","0","0","0","11039.9","0","10764.9","0","0","0","0","      10589.70"
"NESTLEIND","03-May-2019","30-May-2019","10525.1","10649.35","10410","10532.75","10502.75","10532.75","1916","10075.91","304400","4400","      10485.70"
"NESTLEIND","03-May-2019","27-Jun-2019","10636","10636","10509.5","10594.1","10594.1","10594.1","22","116.29","1800","850","      10485.70"
"NESTLEIND","03-May-2019","25-Jul-2019","0","0","0","11039.9","0","10657.35","0","0","0","0","      10485.70"
"NESTLEIND","06-May-2019","30-May-2019","10380.1","10550.95","10380.1","10454.75","10481.45","10454.75","1232","6450.85","310050","5650","      10364.00"
"NESTLEIND","06-May-2019","27-Jun-2019","10079.25","10559.65","10079.25","10485","10485","10485","12","62.84","2000","200","      10364.00"
"NESTLEIND","06-May-2019","25-Jul-2019","0","0","0","11039.9","0","10527.25","0","0","0","0","      10364.00"
"NESTLEIND","07-May-2019","30-May-2019","10500","10649.95","10487.5","10520.35","10529","10520.35","1212","6395.19","317500","7450","      10477.10"
"NESTLEIND","07-May-2019","27-Jun-2019","10645","10658","10562.75","10562.75","10562.75","10581.85","6","31.87","1950","-50","      10477.10"
"NESTLEIND","07-May-2019","25-Jul-2019","0","0","0","11039.9","0","10639.85","0","0","0","0","      10477.10"
"NESTLEIND","08-May-2019","30-May-2019","10504.15","10574.5","10340","10378.75","10370","10378.75","1133","5906.28","318500","1000","      10298.35"
"NESTLEIND","08-May-2019","27-Jun-2019","10500","10500","10426","10426","10426","10399.3","2","10.46","1950","0","      10298.35"
"NESTLEIND","08-May-2019","25-Jul-2019","0","0","0","11039.9","0","10456.25","0","0","0","0","      10298.35"
"NESTLEIND","09-May-2019","30-May-2019","10319.95","10465.5","10287.85","10411.9","10404.25","10411.9","849","4406.55","315850","-2650","      10362.20"
"NESTLEIND","09-May-2019","27-Jun-2019","10320.5","10500","10320.5","10466.95","10456.75","10466.95","27","141.04","2600","650","      10362.20"
"NESTLEIND","09-May-2019","25-Jul-2019","0","0","0","11039.9","0","10519.25","0","0","0","0","      10362.20"
"NESTLEIND","10-May-2019","30-May-2019","10465.4","10482.95","10221.45","10265.75","10232","10265.75","1223","6311.78","321650","5800","      10231.15"
"NESTLEIND","10-May-2019","27-Jun-2019","10492.55","10492.55","10291.65","10299.5","10292","10299.5","19","98.67","2350","-250","      10231.15"
"NESTLEIND","10-May-2019","25-Jul-2019","0","0","0","11039.9","0","10384.85","0","0","0","0","      10231.15"
"NESTLEIND","13-May-2019","30-May-2019","10280","10478.9","10250.15","10328.65","10331.75","10328.65","1130","5859.82","320150","-1500","      10300.05"
"NESTLEIND","13-May-2019","27-Jun-2019","10419.95","10453.1","10353.5","10369.75","10353.5","10369.75","22","114.66","2850","500","      10300.05"
"NESTLEIND","13-May-2019","25-Jul-2019","0","0","0","11039.9","0","10448.65","0","0","0","0","      10300.05"
"NESTLEIND","14-May-2019","30-May-2019","10350.05","10396.1","10145.95","10235.35","10188.15","10235.35","1652","8466.6","318100","-2050","      10198.65"
"NESTLEIND","14-May-2019","27-Jun-2019","10353","10353","10217.1","10274.55","10255","10274.55","33","169.04","3350","500","      10198.65"
"NESTLEIND","14-May-2019","25-Jul-2019","0","0","0","11039.9","0","10343.55","0","0","0","0","      10198.65"
"NESTLEIND","15-May-2019","30-May-2019","10318.9","10549.6","10268.15","10312.3","10374.9","10312.3","3102","16138.49","312750","-5350","      10268.55"
"NESTLEIND","15-May-2019","27-Jun-2019","10392.35","10570.95","10331.05","10357.4","10362","10357.4","31","162.29","3400","50","      10268.55"
"NESTLEIND","15-May-2019","25-Jul-2019","0","0","0","11039.9","0","10412.4","0","0","0","0","      10268.55"
"NESTLEIND","16-May-2019","30-May-2019","10330.05","10421.6","10282.05","10313.35","10315.05","10313.35","1088","5628.82","306200","-6550","      10280.55"
"NESTLEIND","16-May-2019","27-Jun-2019","10400.45","10428.8","10389.5","10389.5","10389.5","10389.5","3","15.61","3450","50","      10280.55"
"NESTLEIND","16-May-2019","25-Jul-2019","0","0","0","11039.9","0","10422.3","0","0","0","0","      10280.55"
"NESTLEIND","17-May-2019","30-May-2019","10344","10571.6","10280.8","10484.4","10470","10484.4","1405","7331.21","298000","-8200","      10465.65"
"NESTLEIND","17-May-2019","27-Jun-2019","10410.05","10600","10410","10510.55","10500","10510.55","20","105.16","3600","150","      10465.65"
"NESTLEIND","17-May-2019","25-Jul-2019","0","0","0","11039.9","0","10607.7","0","0","0","0","      10465.65"
"NESTLEIND","20-May-2019","30-May-2019","10652","10834.2","10482.85","10772.35","10764.1","10772.35","1306","7004.74","288650","-9350","      10768.15"
"NESTLEIND","20-May-2019","27-Jun-2019","10749.7","10875","10647.5","10826.75","10826.75","10826.75","26","140.08","3300","-300","      10768.15"
"NESTLEIND","20-May-2019","25-Jul-2019","0","0","0","11039.9","0","10907.7","0","0","0","0","      10768.15"
"NESTLEIND","21-May-2019","30-May-2019","10863.75","10895.95","10547.4","10628.85","10659.95","10628.85","976","5243.2","282300","-6350","      10609.20"
"NESTLEIND","21-May-2019","27-Jun-2019","10922.8","10945","10648.6","10694.55","10717.2","10694.55","47","253.87","4500","1200","      10609.20"
"NESTLEIND","21-May-2019","25-Jul-2019","0","0","0","11039.9","0","10744.6","0","0","0","0","      10609.20"
"NESTLEIND","22-May-2019","30-May-2019","10645","10821.85","10630","10749.5","10769.9","10749.5","521","2793.99","280050","-2250","      10700.55"
"NESTLEIND","22-May-2019","27-Jun-2019","10720","10878.5","10720","10825","10825","10825","15","80.97","4400","-100","      10700.55"
"NESTLEIND","22-May-2019","25-Jul-2019","0","0","0","11039.9","0","10834.8","0","0","0","0","      10700.55"
"NESTLEIND","23-May-2019","30-May-2019","10832.05","10998.5","10701.9","10807.45","10799.85","10807.45","1002","5441.51","283100","3050","      10797.05"
"NESTLEIND","23-May-2019","27-Jun-2019","10900","11060","10780","10899","10899","10899","133","727.98","6250","1850","      10797.05"
"NESTLEIND","23-May-2019","25-Jul-2019","0","0","0","11039.9","0","10930","0","0","0","0","      10797.05"
"NESTLEIND","24-May-2019","30-May-2019","10790","10820","10619.9","10703.4","10720.15","10703.4","1042","5565.24","271500","-11600","      10660.05"
"NESTLEIND","24-May-2019","27-Jun-2019","10856.75","10856.75","10688.8","10767.4","10808","10767.4","202","1084.62","13500","7250","      10660.05"
"NESTLEIND","24-May-2019","25-Jul-2019","0","0","0","11039.9","0","10789.05","0","0","0","0","      10660.05"
"NESTLEIND","27-May-2019","30-May-2019","10751.95","11071","10725.05","11020.6","11041.8","11020.6","1741","9539.39","242500","-29000","      11036.25"
"NESTLEIND","27-May-2019","27-Jun-2019","10830","11130","10779.9","11079.85","11115.35","11079.85","714","3930.37","37150","23650","      11036.25"
"NESTLEIND","27-May-2019","25-Jul-2019","0","0","0","11039.9","0","11162.95","0","0","0","0","      11036.25"
"NESTLEIND","28-May-2019","30-May-2019","11073.95","11165.05","10935.1","11121.75","11165.05","11121.75","1927","10681.14","205450","-37050","      11105.20"
"NESTLEIND","28-May-2019","27-Jun-2019","11110","11218.9","11019.45","11180.6","11218.9","11180.6","1237","6892.53","70950","33800","      11105.20"
"NESTLEIND","28-May-2019","25-Jul-2019","0","0","0","11039.9","0","11230.35","0","0","0","0","      11105.20"
"NESTLEIND","29-May-2019","30-May-2019","11090","11289.3","11000","11204.1","11207.65","11204.1","3107","17354.01","110600","-94850","      11206.00"
"NESTLEIND","29-May-2019","27-Jun-2019","11100.1","11350","11000.25","11262.25","11307.65","11262.25","2886","16202.38","173000","102050","      11206.00"
"NESTLEIND","29-May-2019","25-Jul-2019","0","0","0","11039.9","0","11329.7","0","0","0","0","      11206.00"
"NESTLEIND","30-May-2019","30-May-2019","11205.1","11325","11184","11316.35","11320.25","11320.5","2734","15404.38","20350","-90250","      11320.50"
"NESTLEIND","30-May-2019","27-Jun-2019","11291","11391.95","11238.35","11361.75","11382.75","11361.75","3144","17812.17","281250","108250","      11320.50"
"NESTLEIND","30-May-2019","25-Jul-2019","0","0","0","11039.9","0","11442.95","0","0","0","0","      11320.50"
"NESTLEIND","31-May-2019","27-Jun-2019","11379.05","11588","11351.05","11551.3","11588","11551.3","1649","9468.17","283950","2700","      11498.10"
"NESTLEIND","31-May-2019","25-Jul-2019","11503.45","11600","11503.45","11585","11600","11585","10","57.76","500","500","      11498.10"
"NESTLEIND","31-May-2019","29-Aug-2019","0","0","0","11520.1","0","11697.75","0","0","0","0","      11498.10"
"NESTLEIND","03-Jun-2019","27-Jun-2019","11570","11768.25","11570","11736.55","11755.85","11736.55","1266","7395.92","295650","11700","      11686.45"
"NESTLEIND","03-Jun-2019","25-Jul-2019","11633.75","11742.5","11633.75","11742.5","11742.5","11742.5","14","81.8","1000","500","      11686.45"
"NESTLEIND","03-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11881.7","0","0","0","0","      11686.45"
"NESTLEIND","04-Jun-2019","27-Jun-2019","11708.7","11765","11481","11620.1","11670","11620.1","1879","10867.83","307500","11850","      11552.35"
"NESTLEIND","04-Jun-2019","25-Jul-2019","11600.05","11601","11568.6","11568.6","11568.6","11664.6","6","34.79","950","-50","      11552.35"
"NESTLEIND","04-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11742.25","0","0","0","0","      11552.35"
"NESTLEIND","06-Jun-2019","27-Jun-2019","11600","11745.1","11575.35","11675.6","11684.7","11675.6","1348","7878.1","304950","-2550","      11603.30"
"NESTLEIND","06-Jun-2019","25-Jul-2019","11770.5","11770.5","11719.95","11720","11720","11720","6","35.24","1150","200","      11603.30"
"NESTLEIND","06-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11787.95","0","0","0","0","      11603.30"
"NESTLEIND","07-Jun-2019","27-Jun-2019","11648.95","11660.75","11493.85","11529.95","11500","11529.95","1071","6186.89","302300","-2650","      11503.85"
"NESTLEIND","07-Jun-2019","25-Jul-2019","11680","11680","11562.35","11578.05","11578","11578.05","14","81.19","900","-250","      11503.85"
"NESTLEIND","07-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11680.75","0","0","0","0","      11503.85"
"NESTLEIND","10-Jun-2019","27-Jun-2019","11580","11780","11385","11754.85","11774.65","11754.85","1204","7046.23","309900","7600","      11698.40"
"NESTLEIND","10-Jun-2019","25-Jul-2019","11695.95","11800","11695.95","11800","11800","11800","11","64.51","1200","300","      11698.40"
"NESTLEIND","10-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11871.75","0","0","0","0","      11698.40"
"NESTLEIND","11-Jun-2019","27-Jun-2019","11848.4","11884.15","11529.15","11659.65","11618.05","11659.65","1757","10269.69","311150","1250","      11622.95"
"NESTLEIND","11-Jun-2019","25-Jul-2019","11850","11863.05","11600","11695.05","11695","11695.05","29","169.75","1400","200","      11622.95"
"NESTLEIND","11-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11793","0","0","0","0","      11622.95"
"NESTLEIND","12-Jun-2019","27-Jun-2019","11669","11760","11568.5","11724.25","11695.05","11724.25","1000","5845.38","309800","-1350","      11695.50"
"NESTLEIND","12-Jun-2019","25-Jul-2019","11700","11778.3","11700","11776.3","11774.15","11776.3","44","258.52","2300","900","      11695.50"
"NESTLEIND","12-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11864.45","0","0","0","0","      11695.50"
"NESTLEIND","13-Jun-2019","27-Jun-2019","11680","11706.7","11603","11667.55","11660","11667.55","795","4633.07","317550","7750","      11613.75"
"NESTLEIND","13-Jun-2019","25-Jul-2019","11730.65","11730.7","11671.75","11705","11705","11703.8","42","245.66","3550","1250","      11613.75"
"NESTLEIND","13-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11779.35","0","0","0","0","      11613.75"
"NESTLEIND","14-Jun-2019","27-Jun-2019","11621.8","11745.6","11500","11528.9","11552.05","11528.9","979","5679.37","309600","-7950","      11489.00"
"NESTLEIND","14-Jun-2019","25-Jul-2019","11775.95","11779.55","11565","11601.1","11580","11601.1","86","501.24","5650","2100","      11489.00"
"NESTLEIND","14-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11650.4","0","0","0","0","      11489.00"
"NESTLEIND","17-Jun-2019","27-Jun-2019","11505.15","11649.65","11424.95","11514.4","11492.05","11514.4","992","5723.1","304600","-5000","      11480.85"
"NESTLEIND","17-Jun-2019","25-Jul-2019","11657.1","11657.1","11554","11587","11576.95","11587","109","632.42","5100","-550","      11480.85"
"NESTLEIND","17-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11636","0","0","0","0","      11480.85"
"NESTLEIND","18-Jun-2019","27-Jun-2019","11619","11619","11308.95","11460.65","11443.65","11460.65","1528","8732.76","303000","-1600","      11457.60"
"NESTLEIND","18-Jun-2019","25-Jul-2019","11794.8","11794.8","11368.05","11524.35","11517.45","11524.35","48","275.95","5450","350","      11457.60"
"NESTLEIND","18-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11610.05","0","0","0","0","      11457.60"
"NESTLEIND","19-Jun-2019","27-Jun-2019","11450","11672.95","11450","11628.6","11621.3","11628.6","1601","9284.64","296200","-6800","      11611.70"
"NESTLEIND","19-Jun-2019","25-Jul-2019","11589.8","11730","11589.65","11704.05","11730","11704.05","57","332.45","6650","1200","      11611.70"
"NESTLEIND","19-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11764.25","0","0","0","0","      11611.70"
"NESTLEIND","20-Jun-2019","27-Jun-2019","11600","11768","11501.7","11723.3","11704.3","11723.3","1263","7370.69","303150","6950","      11718.05"
"NESTLEIND","20-Jun-2019","25-Jul-2019","11617.55","11815.5","11577.7","11775.45","11757.35","11775.45","83","486.22","8200","1550","      11718.05"
"NESTLEIND","20-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11869.85","0","0","0","0","      11718.05"
"NESTLEIND","21-Jun-2019","27-Jun-2019","11662.05","11793.9","11572.1","11641.6","11700","11641.6","1469","8582.15","309700","6550","      11600.90"
"NESTLEIND","21-Jun-2019","25-Jul-2019","11718.6","11849.45","11632.7","11678.25","11744.65","11678.25","117","687.38","10700","2500","      11600.90"
"NESTLEIND","21-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11749.25","0","0","0","0","      11600.90"
"NESTLEIND","24-Jun-2019","27-Jun-2019","11624.85","11771.05","11624.85","11700.8","11694.8","11700.8","1219","7132.03","275400","-34300","      11712.00"
"NESTLEIND","24-Jun-2019","25-Jul-2019","11716.85","11828.95","11716.85","11752.1","11764.1","11752.1","887","5215.55","50500","39800","      11712.00"
"NESTLEIND","24-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11855","0","0","0","0","      11712.00"
"NESTLEIND","25-Jun-2019","27-Jun-2019","11675.2","11750","11602.15","11736.45","11732","11736.45","1970","11534.4","200150","-75250","      11705.85"
"NESTLEIND","25-Jun-2019","25-Jul-2019","11799","11817.95","11502.85","11800.45","11786","11800.45","1806","10632.73","124250","73750","      11705.85"
"NESTLEIND","25-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11847.2","0","0","0","0","      11705.85"
"NESTLEIND","26-Jun-2019","27-Jun-2019","11730","11967.85","11730","11834.75","11825","11834.75","3166","18783.07","89850","-110300","      11802.50"
"NESTLEIND","26-Jun-2019","25-Jul-2019","11761.3","12031.9","11761.3","11895.55","11885.3","11895.55","3016","17983.37","236750","112500","      11802.50"
"NESTLEIND","26-Jun-2019","29-Aug-2019","11880","12111.45","11880","12111.45","12111.45","11943.05","3","17.94","150","150","      11802.50"
"NESTLEIND","27-Jun-2019","27-Jun-2019","11832.1","11853.7","11675","11799.5","11803.5","11802.85","2400","14091.32","13400","-76450","      11802.85"
"NESTLEIND","27-Jun-2019","25-Jul-2019","11895.1","11938.2","11733","11871.45","11876","11871.45","2597","15330.02","321400","84650","      11802.85"
"NESTLEIND","27-Jun-2019","29-Aug-2019","0","0","0","12111.45","12111.45","11941.4","0","0","150","0","      11802.85"
"NESTLEIND","28-Jun-2019","25-Jul-2019","11847.05","11999","11824.95","11958.55","11990","11958.55","1399","8349.63","322250","850","      11912.60"
"NESTLEIND","28-Jun-2019","29-Aug-2019","11889.45","12009.95","11889.45","12006.1","12006.1","12050.2","15","89.74","850","700","      11912.60"
"NESTLEIND","28-Jun-2019","26-Sep-2019","0","0","0","12003.5","0","12112.85","0","0","0","0","      11912.60"
